Country;Happiness Rank;Happiness Score;Economy (GDP per Capita);Family;Health (Life Expectancy);Freedom;Trust (Government Corruption)
Georgia;128;4.340;853;592;643;375;215
Armenia;129;4.321;816;990;666;260;28
Myanmar;130;4.308;682;1.174;429;580;178
Chad;131;4.301;358;907;53;189;60
Congo (Kinshasa);132;4.245;69;1.136;204;312;52
India;133;4.190;721;747;485;539;93
Niger;134;4.166;131;867;221;390;99
Uganda;135;4.161;322;1.090;237;450;61
Benin;136;4.141;378;372;240;440;67
Sudan;137;4.139;605;1.240;312;16;82
Ukraine;138;4.103;793;1.413;609;163;11
Togo;139;3.999;259;474;253;434;101
Guinea;140;3.964;344;792;211;394;94
Lesotho;141;3.808;472;1.215;79;423;112
Angola;142;3.795;730;1.125;269;0;61
Madagascar;143;3.774;262;908;402;221;49
Zimbabwe;144;3.692;357;1.094;248;406;99
Afghanistan;145;3.632;332;537;255;85;36
Botswana;146;3.590;1.017;1.174;417;557;92
Malawi;147;3.587;186;541;306;531;80
Haiti;148;3.582;315;714;289;25;104
Liberia;149;3.495;76;858;267;419;30
Syria;150;3.462;689;382;539;88;144
Rwanda;151;3.408;332;896;400;636;444
Yemen;152;3.355;442;1.073;343;244;64
Tanzania;153;3.303;455;991;381;481;97
South Sudan;154;3.254;337;608;177;112;106
Central African Republic;155;3.083;24;0;10;305;38
Burundi;156;2.905;91;627;145;65;76
